,Tickers,Company,Sector,Sub_industry,HeadQuarters,Founded
313,MKC,McCormick & Co.,Consumer Staples,Packaged Foods & Meats,"Sparks, Maryland",1889
314,MXIM,Maxim Integrated Products Inc,Information Technology,Semiconductors,"San Jose, California",1983
315,MCD,McDonald's Corp.,Consumer Discretionary,Restaurants,"Chicago, Illinois",1940
316,MCK,McKesson Corp.,Health Care,Health Care Distributors,"Irving, Texas",1833
317,MDT,Medtronic plc,Health Care,Health Care Equipment,"Dublin, Ireland",
318,MRK,Merck & Co.,Health Care,Pharmaceuticals,"Whitehouse Station, New Jersey",1891
319,MET,MetLife Inc.,Financials,Life & Health Insurance,"New York, New York",1868
320,MTD,Mettler Toledo,Health Care,Life Sciences Tools & Services,"Columbus, Ohio",
321,MGM,MGM Resorts International,Consumer Discretionary,Casinos & Gaming,"Paradise, Nevada",
322,MCHP,Microchip Technology,Information Technology,Semiconductors,"Chandler, Arizona",
323,MU,Micron Technology,Information Technology,Semiconductors,"Boise, Idaho",
324,MSFT,Microsoft Corp.,Information Technology,Systems Software,"Redmond, Washington",1975
325,MAA,Mid-America Apartments,Real Estate,Residential REITs,"Memphis, Tennessee",
326,MHK,Mohawk Industries,Consumer Discretionary,Home Furnishings,"Amsterdam, New York",
327,TAP,Molson Coors Brewing Company,Consumer Staples,Brewers,"Denver, Colorado",
328,MDLZ,Mondelez International,Consumer Staples,Packaged Foods & Meats,"Deerfield, Illinois",
329,MNST,Monster Beverage,Consumer Staples,Soft Drinks,"Corona, California",
330,MCO,Moody's Corp,Financials,Financial Exchanges & Data,"New York, New York",1909
331,MS,Morgan Stanley,Financials,Investment Banking & Brokerage,"New York, New York",1935
332,MOS,The Mosaic Company,Materials,Fertilizers & Agricultural Chemicals,"Plymouth, Minnesota",
333,MSI,Motorola Solutions Inc.,Information Technology,Communications Equipment,"Schaumburg, Illinois",1928 (2011)
334,MSCI,MSCI Inc,Financials,Financial Exchanges & Data,"New York, New York",
335,MYL,Mylan N.V.,Health Care,Pharmaceuticals,"Amsterdam, Netherlands",
336,NDAQ,"Nasdaq, Inc.",Financials,Financial Exchanges & Data,"New York, New York",
337,NOV,National Oilwell Varco Inc.,Energy,Oil & Gas Equipment & Services,"Houston, Texas",
338,NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals","Sunnyvale, California",
339,NFLX,Netflix Inc.,Communication Services,Movies & Entertainment,"Los Gatos, California",1997
340,NWL,Newell Brands,Consumer Discretionary,Housewares & Specialties,"Hoboken, New Jersey",
341,NEM,Newmont Goldcorp,Materials,Gold,"Denver, Colorado",1921
342,NWSA,News Corp. Class A,Communication Services,Publishing,"New York, New York",
343,NWS,News Corp. Class B,Communication Services,Publishing,"New York, New York",
344,NEE,NextEra Energy,Utilities,Multi-Utilities,"Juno Beach, Florida",
345,NLSN,Nielsen Holdings,Industrials,Research & Consulting Services,"New York, New York",
346,NKE,Nike,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Washington County, Oregon",
347,NI,NiSource Inc.,Utilities,Multi-Utilities,"Merrillville, Indiana",1912
348,NBL,Noble Energy Inc,Energy,Oil & Gas Exploration & Production,"Houston, Texas",
349,JWN,Nordstrom,Consumer Discretionary,Department Stores,"Seattle, Washington",
350,NSC,Norfolk Southern Corp.,Industrials,Railroads,"Norfolk, Virginia",1881/1894 (1980)
351,NTRS,Northern Trust Corp.,Financials,Asset Management & Custody Banks,"Chicago, Illinois",1889
352,NOC,Northrop Grumman,Industrials,Aerospace & Defense,"West Falls Church, Virginia",
353,NLOK,NortonLifeLock,Information Technology,Application Software,"Tempe, Arizona",
354,NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",
355,NRG,NRG Energy,Utilities,Independent Power Producers & Energy Traders,"Princeton, New Jersey",
356,NUE,Nucor Corp.,Materials,Steel,"Charlotte, North Carolina",
357,NVDA,Nvidia Corporation,Information Technology,Semiconductors,"Santa Clara, California",
358,NVR,NVR Inc,Consumer Discretionary,Homebuilding,"Reston, VA",
359,ORLY,O'Reilly Automotive,Consumer Discretionary,Specialty Stores,"Springfield, Missouri",
360,OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,"Houston, Texas",
361,OMC,Omnicom Group,Communication Services,Advertising,"New York, New York",1986
362,OKE,ONEOK,Energy,Oil & Gas Storage & Transportation,"Tulsa, Oklahoma",
363,ORCL,Oracle Corp.,Information Technology,Application Software,"Redwood Shores, California",
364,PCAR,PACCAR Inc.,Industrials,Construction Machinery & Heavy Trucks,"Bellevue, Washington",
365,PKG,Packaging Corporation of America,Materials,Paper Packaging,"Lake Forest, Illinois",
366,PH,Parker-Hannifin,Industrials,Industrial Machinery,"Cleveland, Ohio",
367,PAYX,Paychex Inc.,Information Technology,Data Processing & Outsourced Services,"Penfield, New York",1971
368,PYPL,PayPal,Information Technology,Data Processing & Outsourced Services,"San Jose, California",
369,PNR,Pentair plc,Industrials,Industrial Machinery,"Worsley, UK",
370,PBCT,People's United Financial,Financials,Thrifts & Mortgage Finance,"Bridgeport, Connecticut",
371,PEP,PepsiCo Inc.,Consumer Staples,Soft Drinks,"Purchase, New York",1898
372,PKI,PerkinElmer,Health Care,Health Care Equipment,"Waltham, Massachusetts",
373,PRGO,Perrigo,Health Care,Pharmaceuticals,"Dublin, Ireland",
374,PFE,Pfizer Inc.,Health Care,Pharmaceuticals,"New York, New York",1849
375,PM,Philip Morris International,Consumer Staples,Tobacco,"New York, New York",
376,PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,"Houston, Texas",
377,PNW,Pinnacle West Capital,Utilities,Multi-Utilities,"Phoenix, Arizona",1985
378,PXD,Pioneer Natural Resources,Energy,Oil & Gas Exploration & Production,"Irving, Texas",
379,PNC,PNC Financial Services,Financials,Regional Banks,"Pittsburgh, Pennsylvania",
380,PPG,PPG Industries,Materials,Specialty Chemicals,"Pittsburgh, Pennsylvania",1883
381,PPL,PPL Corp.,Utilities,Electric Utilities,"Allentown, Pennsylvania",
382,PFG,Principal Financial Group,Financials,Life & Health Insurance,"Des Moines, Iowa",
383,PG,Procter & Gamble,Consumer Staples,Personal Products,"Cincinnati, Ohio",1837
384,PGR,Progressive Corp.,Financials,Property & Casualty Insurance,"Mayfield Village, Ohio",
385,PLD,Prologis,Real Estate,Industrial REITs,"San Francisco, California",
386,PRU,Prudential Financial,Financials,Life & Health Insurance,"Newark, New Jersey",
387,PEG,Public Serv. Enterprise Inc.,Utilities,Electric Utilities,"Newark, New Jersey",
388,PSA,Public Storage,Real Estate,Specialized REITs,"Glendale, California",
389,PHM,Pulte Homes Inc.,Consumer Discretionary,Homebuilding,"Atlanta, Georgia",
390,PVH,PVH Corp.,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",
391,QRVO,Qorvo,Information Technology,Semiconductors,"Greensboro, North Carolina",
392,PWR,Quanta Services Inc.,Industrials,Construction & Engineering,"Houston, Texas",
393,QCOM,QUALCOMM Inc.,Information Technology,Semiconductors,"San Diego, California",1985
394,DGX,Quest Diagnostics,Health Care,Health Care Services,"Madison, New Jersey",
395,RL,Ralph Lauren Corporation,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",
396,RJF,Raymond James Financial Inc.,Financials,Investment Banking & Brokerage,"St. Petersburg, Florida",
397,RTN,Raytheon Co.,Industrials,Aerospace & Defense,"Waltham, Massachusetts",1922
398,O,Realty Income Corporation,Real Estate,Retail REITs,"San Diego, California",
399,REG,Regency Centers Corporation,Real Estate,Retail REITs,"Jacksonville, Florida",
400,REGN,Regeneron Pharmaceuticals,Health Care,Biotechnology,"Tarrytown, New York",
401,RF,Regions Financial Corp.,Financials,Regional Banks,"Birmingham, Alabama",
402,RSG,Republic Services Inc,Industrials,Environmental & Facilities Services,"Phoenix, Arizona",
403,RMD,ResMed,Health Care,Health Care Equipment,"San Diego, California",
404,RHI,Robert Half International,Industrials,Human Resource & Employment Services,"Menlo Park, California",
405,ROK,Rockwell Automation Inc.,Industrials,Electrical Components & Equipment,"Milwaukee, Wisconsin",
406,ROL,Rollins Inc.,Industrials,Environmental & Facilities Services,"Atlanta, Georgia",
407,ROP,Roper Technologies,Industrials,Industrial Conglomerates,"Sarasota, Florida",
408,ROST,Ross Stores,Consumer Discretionary,Apparel Retail,"Pleasanton, California",
409,RCL,Royal Caribbean Cruises Ltd,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",
410,SPGI,"S&P Global, Inc.",Financials,Financial Exchanges & Data,"New York, New York",
411,CRM,Salesforce.com,Information Technology,Application Software,"San Francisco, California",
412,SBAC,SBA Communications,Real Estate,Specialized REITs,"Boca Raton, Florida",
413,SLB,Schlumberger Ltd.,Energy,Oil & Gas Equipment & Services,"Curaçao, Kingdom of the Netherlands",1926
414,STX,Seagate Technology,Information Technology,"Technology Hardware, Storage & Peripherals","Dublin, Ireland",
415,SEE,Sealed Air,Materials,Paper Packaging,"Elmwood Park, New Jersey",
416,SRE,Sempra Energy,Utilities,Multi-Utilities,"San Diego, California",
417,NOW,ServiceNow,Information Technology,Systems Software,"Santa Clara, California",2003
418,SHW,Sherwin-Williams,Materials,Specialty Chemicals,"Cleveland, Ohio",1866
419,SPG,Simon Property Group Inc,Real Estate,Retail REITs,"Indianapolis, Indiana",2003
420,SWKS,Skyworks Solutions,Information Technology,Semiconductors,"Woburn, Massachusetts",
421,SLG,SL Green Realty,Real Estate,Office REITs,"New York, New York",
422,SNA,Snap-on,Industrials,Industrial Machinery,"Kenosha, Wisconsin",1920
423,SO,Southern Co.,Utilities,Electric Utilities,"Atlanta, Georgia",
424,LUV,Southwest Airlines,Industrials,Airlines,"Dallas, Texas",
425,SWK,Stanley Black & Decker,Industrials,Industrial Machinery,"New Britain, Connecticut",
426,SBUX,Starbucks Corp.,Consumer Discretionary,Restaurants,"Seattle, Washington",1971
427,STT,State Street Corp.,Financials,Asset Management & Custody Banks,"Boston, Massachusetts",
428,SYK,Stryker Corp.,Health Care,Health Care Equipment,"Kalamazoo, Michigan",
429,STI,SunTrust Banks,Financials,Regional Banks,"Atlanta, Georgia",
430,SIVB,SVB Financial,Financials,Regional Banks,"Santa Clara, California",
431,SYF,Synchrony Financial,Financials,Consumer Finance,"Stamford, Connecticut",
432,SNPS,Synopsys Inc.,Information Technology,Application Software,"Mountain View, California",
433,SYY,Sysco Corp.,Consumer Staples,Food Distributors,"Houston, Texas",
434,TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,"Bellevue, Washington",
435,TROW,T. Rowe Price Group,Financials,Asset Management & Custody Banks,"Baltimore, Maryland",1937
436,TTWO,Take-Two Interactive,Communication Services,Interactive Home Entertainment,"New York, New York",
437,TPR,"Tapestry, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",2017
438,TGT,Target Corp.,Consumer Discretionary,General Merchandise Stores,"Minneapolis, Minnesota",
439,TEL,TE Connectivity Ltd.,Information Technology,Electronic Manufacturing Services,"Schaffhausen, Switzerland",
440,FTI,TechnipFMC,Energy,Oil & Gas Equipment & Services,"London, United Kingdom",
441,TFX,Teleflex,Health Care,Health Care Equipment,"Wayne, Pennsylvania",1943
442,TXN,Texas Instruments,Information Technology,Semiconductors,"Dallas, Texas",1930
443,TXT,Textron Inc.,Industrials,Aerospace & Defense,"Providence, Rhode Island",
444,TMO,Thermo Fisher Scientific,Health Care,Life Sciences Tools & Services,"Waltham, Massachusetts",2006
445,TIF,Tiffany & Co.,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",
446,TWTR,"Twitter, Inc.",Communication Services,Interactive Media & Services,"San Francisco, California",
447,TJX,TJX Companies Inc.,Consumer Discretionary,Apparel Retail,"Framingham, Massachusetts",
448,TSCO,Tractor Supply Company,Consumer Discretionary,Specialty Stores,"Brentwood, Tennessee",
449,TDG,TransDigm Group,Industrials,Aerospace & Defense,"Cleveland, Ohio",
450,TRV,The Travelers Companies Inc.,Financials,Property & Casualty Insurance,"New York, New York",
451,TRIP,TripAdvisor,Communication Services,Interactive Media & Services,"Newton, Massachusetts",
452,TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,"Springdale, Arkansas",
453,UDR,"UDR, Inc.",Real Estate,Residential REITs,"Highlands Ranch, Colorado",
454,ULTA,Ulta Beauty,Consumer Discretionary,Specialty Stores,"Bolingbrook, Illinois",
455,USB,U.S. Bancorp,Financials,Diversified Banks,"Minneapolis, Minnesota",1968
456,UAA,Under Armour Class A,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Baltimore, Maryland",
457,UA,Under Armour Class C,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Baltimore, Maryland",
458,UNP,Union Pacific Corp,Industrials,Railroads,"Omaha, Nebraska",
459,UAL,United Airlines Holdings,Industrials,Airlines,"Chicago, Illinois",
460,UNH,United Health Group Inc.,Health Care,Managed Health Care,"Minnetonka, Minnesota",
461,UPS,United Parcel Service,Industrials,Air Freight & Logistics,"Atlanta, Georgia",
462,URI,"United Rentals, Inc.",Industrials,Trading Companies & Distributors,"Stamford, Connecticut",
463,UTX,United Technologies,Industrials,Aerospace & Defense,"Hartford, Connecticut",
464,UHS,"Universal Health Services, Inc.",Health Care,Health Care Facilities,"King of Prussia, Pennsylvania",
465,UNM,Unum Group,Financials,Life & Health Insurance,"Chattanooga, Tennessee",
466,VFC,V.F. Corp.,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Greensboro, North Carolina",
467,VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing,"San Antonio, Texas",1980
468,VAR,Varian Medical Systems,Health Care,Health Care Equipment,"Palo Alto, California",
469,VTR,Ventas Inc,Real Estate,Health Care REITs,"Chicago, Illinois",
470,VRSN,Verisign Inc.,Information Technology,Internet Services & Infrastructure,"Dulles, Virginia",
471,VRSK,Verisk Analytics,Industrials,Research & Consulting Services,"Jersey City, New Jersey",
472,VZ,Verizon Communications,"Communication Services
",Integrated Telecommunication Services,"New York, New York",
473,VRTX,Vertex Pharmaceuticals Inc,Health Care,Biotechnology,"Cambridge, Massachusetts",
474,VIAC,ViacomCBS,Communication Services,Movies & Entertainment,"New York, New York",
475,V,Visa Inc.,Information Technology,Data Processing & Outsourced Services,"San Francisco, California",
476,VNO,Vornado Realty Trust,Real Estate,Office REITs,"New York, New York",
477,VMC,Vulcan Materials,Materials,Construction Materials,"Birmingham, Alabama",
478,WRB,W. R. Berkley Corporation,Financials,Property & Casualty Insurance,"Greenwich, Connecticut",1967
479,WAB,Wabtec Corporation,Industrials,Construction Machinery & Heavy Trucks,"Wilmerding, Pennsylvania",
480,WMT,Walmart,Consumer Staples,Hypermarkets & Super Centers,"Bentonville, Arkansas",
481,WBA,Walgreens Boots Alliance,Consumer Staples,Drug Retail,"Deerfield, Illinois",
482,DIS,The Walt Disney Company,Communication Services,Movies & Entertainment,"Burbank, California",
483,WM,Waste Management Inc.,Industrials,Environmental & Facilities Services,"Houston, Texas",1968
484,WAT,Waters Corporation,Health Care,Health Care Distributors,"Milford, Massachusetts",1958
485,WEC,Wec Energy Group Inc,Utilities,Electric Utilities,"Milwaukee, Wisconsin",
486,WCG,WellCare,Health Care,Managed Health Care,"Tampa, Florida",
487,WFC,Wells Fargo,Financials,Diversified Banks,"San Francisco, California",
488,WELL,Welltower Inc.,Real Estate,Health Care REITs,"Toledo, Ohio",
489,WDC,Western Digital,Information Technology,"Technology Hardware, Storage & Peripherals","Irvine, California",
490,WU,Western Union Co,Information Technology,Data Processing & Outsourced Services,"Englewood, Colorado",1851
491,WRK,WestRock,Materials,Paper Packaging,"Richmond, Virginia",
492,WY,Weyerhaeuser,Real Estate,Specialized REITs,"Federal Way, Washington",
493,WHR,Whirlpool Corp.,Consumer Discretionary,Household Appliances,"Benton Harbor, Michigan",1911
494,WMB,Williams Cos.,Energy,Oil & Gas Storage & Transportation,"Tulsa, Oklahoma",
495,WLTW,Willis Towers Watson,Financials,Insurance Brokers,"London, United Kingdom",
496,WYNN,Wynn Resorts Ltd,Consumer Discretionary,Casinos & Gaming,"Paradise, Nevada",
497,XEL,Xcel Energy Inc,Utilities,Multi-Utilities,"Minneapolis, Minnesota",1909
498,XRX,Xerox,Information Technology,"Technology Hardware, Storage & Peripherals","Norwalk, Connecticut",1906
499,XLNX,Xilinx,Information Technology,Semiconductors,"San Jose, California",
500,XYL,Xylem Inc.,Industrials,Industrial Machinery,"White Plains, New York",
501,YUM,Yum! Brands Inc,Consumer Discretionary,Restaurants,"Louisville, Kentucky",
502,ZBH,Zimmer Biomet Holdings,Health Care,Health Care Equipment,"Warsaw, Indiana",
503,ZION,Zions Bancorp,Financials,Regional Banks,"Salt Lake City, Utah",
504,ZTS,Zoetis,Health Care,Pharmaceuticals,"Florham Park, New Jersey",
